Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
223.4,5.044,1126.83,223.8,5.06,1132.9
223.4,5.044,1126.83,223.8,5.06,1131.9
223.55,5.044,1127.586,224.6,5.062,1131.9
223.55,5.044,1127.586,223.8,5.06,1132.9
223.55,5.045,1127.81,223.8,5.06,1130.9
223.55,5.045,1127.81,223.8,5.062,1131.9
223.36,5.045,1126.851,223.8,5.058,1130.9
223.36,5.044,1126.628,223.4,5.058,1129.9
223.36,5.044,1126.628,223.8,5.055,1129.9
223.42,5.044,1126.93,223.8,5.053,1129.9
223.42,5.044,1126.93,223.8,5.055,1129.9
223.42,5.044,1126.93,223.8,5.053,1130.9
223.42,5.044,1126.93,223.4,5.055,1130.9
223.42,5.044,1126.93,223.4,5.058,1126.9
223.33,5.044,1126.477,223.4,5.048,1128.9
223.33,5.044,1126.477,223.8,5.048,1128.9
223.33,5.042,1126.03,223.0,5.053,1126.9
223.33,5.042,1126.03,222.6,5.039,1123.0
223.27,5.042,1125.727,222.6,5.041,1123.0
223.27,5.042,1125.727,222.6,5.039,1124.0
223.27,5.043,1125.951,223.0,5.039,1122.0
223.27,5.043,1125.951,223.0,5.043,1118.1
223.33,5.043,1126.253,222.6,5.036,1122.0
223.33,5.043,1126.253,222.2,5.039,1119.1
223.33,5.037,1124.913,222.6,5.034,1119.1
223.33,5.037,1124.913,221.8,5.022,1116.2
223.21,5.037,1124.309,222.2,5.027,1114.2
223.21,5.037,1124.309,222.2,5.022,1114.2
223.21,5.037,1124.309,222.2,5.02,1116.2
223.21,5.037,1124.309,222.2,5.027,1115.2
223.17,5.037,1124.107,222.2,5.024,1115.2
223.17,5.037,1124.107,221.8,5.022,1115.2
