Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
222.45,5.024,1117.589,223.0,5.023,1117.5
222.51,5.024,1117.89,223.0,5.023,1119.5
222.51,5.031,1119.448,223.0,5.03,1118.5
222.55,5.031,1119.649,223.0,5.025,1118.5
222.55,5.021,1117.424,223.0,5.021,1116.5
222.55,5.021,1117.424,222.6,5.025,1117.5
222.36,5.021,1116.47,223.0,5.028,1120.4
222.36,5.029,1118.248,222.6,5.028,1121.4
222.8,5.029,1120.461,223.0,5.035,1119.5
222.8,5.029,1120.461,223.0,5.03,1119.5
222.8,5.029,1120.461,223.0,5.028,1119.5
222.85,5.029,1120.713,223.0,5.033,1120.4
222.85,5.037,1122.495,223.0,5.037,1123.4
222.85,5.037,1122.495,223.4,5.037,1123.4
223.09,5.037,1123.704,223.4,5.037,1124.4
223.09,5.039,1124.151,223.4,5.035,1124.4
223.08,5.039,1124.1,223.8,5.035,1125.4
223.08,5.04,1124.323,223.8,5.04,1119.5
223.08,5.04,1124.323,223.0,5.03,1120.4
222.74,5.04,1122.61,223.4,5.025,1120.4
222.74,5.03,1120.382,223.4,5.025,1119.5
222.79,5.03,1120.634,223.4,5.03,1121.4
222.79,5.03,1120.634,223.0,5.033,1122.4
222.79,5.033,1121.302,223.4,5.033,1121.4
222.82,5.033,1121.453,223.0,5.033,1119.5
222.82,5.027,1120.116,223.0,5.025,1119.5
222.82,5.027,1120.116,223.0,5.028,1119.5
222.7,5.027,1119.513,223.0,5.03,1119.5
222.7,5.032,1120.626,223.8,5.028,1122.4
222.79,5.032,1121.079,224.2,5.035,1119.5
222.79,5.032,1121.079,223.4,5.035,1121.4
222.79,5.031,1120.856,223.0,5.035,1116.5
