Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
221.94,5.023,1114.805,222.6,5.029,1116.2
221.94,5.011,1112.141,222.2,5.024,1115.2
221.94,5.011,1112.141,222.2,5.024,1118.1
221.84,5.011,1111.64,222.6,5.031,1118.1
221.84,5.017,1112.971,222.6,5.031,1121.0
222.1,5.017,1114.276,222.6,5.031,1121.0
222.1,5.017,1114.276,223.0,5.036,1121.0
222.1,5.023,1115.608,222.6,5.036,1121.0
222.22,5.023,1116.211,223.0,5.036,1120.0
222.22,5.005,1112.211,221.8,5.031,1116.2
222.22,5.005,1112.211,222.2,5.031,1116.2
221.8,5.005,1110.109,222.2,5.024,1118.1
221.8,5.014,1112.105,222.2,5.031,1119.1
221.96,5.014,1112.907,222.2,5.029,1119.1
221.96,5.014,1112.907,222.6,5.029,1118.1
221.96,5.014,1112.907,222.2,5.031,1116.2
221.69,5.014,1111.554,221.8,5.029,1117.1
221.69,5.014,1111.554,222.6,5.031,1118.1
221.69,5.014,1111.554,222.6,5.027,1119.1
222.06,5.014,1113.409,222.6,5.029,1116.2
222.06,5.011,1112.743,222.2,5.027,1116.2
221.77,5.011,1111.289,221.8,5.02,1114.2
221.77,5.011,1111.289,222.2,5.02,1116.2
221.77,5.011,1111.289,221.8,5.029,1115.2
221.7,5.011,1110.939,222.2,5.027,1116.2
221.7,5.016,1112.047,222.2,5.031,1119.1
221.7,5.016,1112.047,222.2,5.029,1118.1
221.97,5.016,1113.402,221.8,5.036,1121.0
221.97,5.02,1114.289,222.6,5.036,1122.0
222.39,5.02,1116.398,222.6,5.036,1122.0
222.39,5.026,1117.732,222.6,5.031,1120.0
222.39,5.026,1117.732,222.6,5.031,1122.0
