Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
231.16,0.29,67.036,229.9,0.272,62.4
230.58,0.29,66.868,229.9,0.272,62.4
230.58,0.29,66.868,229.5,0.271,62.3
230.58,0.29,66.868,229.5,0.271,62.8
230.59,0.29,66.871,229.5,0.272,62.7
230.59,0.29,66.871,229.5,0.271,62.6
230.59,0.29,66.871,229.9,0.272,62.5
230.83,0.29,66.941,229.9,0.272,62.7
230.83,0.291,67.172,230.4,0.272,62.6
231.1,0.291,67.25,230.4,0.273,62.7
231.1,0.291,67.25,230.4,0.272,62.9
231.1,0.29,67.019,230.4,0.272,62.7
231.45,0.29,67.12,230.4,0.272,62.6
231.45,0.291,67.352,230.4,0.272,62.6
