Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
227.9,3.618,825.02,227.0,3.607,823.4
227.4,3.615,822.32,225.8,3.612,821.3
227.0,3.618,823.42,226.6,3.61,821.8
227.0,3.616,823.42,226.6,3.608,823.4
227.9,3.616,822.92,227.0,3.608,822.8
227.4,3.619,823.42,226.6,3.612,822.8
227.4,3.619,821.32,226.6,3.606,821.3
227.0,3.615,821.32,226.6,3.606,821.3
227.0,3.616,821.32,226.2,3.606,819.7
227.0,3.614,820.82,226.6,3.602,820.2
227.0,3.609,821.82,226.2,3.603,820.7
227.4,3.613,821.82,226.6,3.607,821.8
227.0,3.613,820.82,226.6,3.606,820.2
227.0,3.611,821.32,226.2,3.608,821.3
