Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
224.6,5.043,1135.04,224.3,5.037,1138.2
225.4,5.043,1140.04,224.7,5.037,1145.2
225.4,5.062,1143.14,225.2,5.054,1147.3
225.4,5.062,1143.14,225.2,5.054,1147.3
225.8,5.07,1141.04,225.2,5.054,1146.3
225.4,5.06,1144.14,225.6,5.056,1149.3
225.8,5.07,1145.14,226.0,5.058,1149.3
225.8,5.072,1143.14,225.6,5.056,1146.3
225.8,5.062,1145.14,225.6,5.054,1149.3
225.8,5.072,1144.14,225.6,5.054,1149.3
225.4,5.07,1141.04,225.2,5.054,1145.2
224.6,5.062,1133.94,224.3,5.046,1138.2
225.0,5.05,1132.94,224.3,5.034,1136.2
225.0,5.046,1135.04,224.3,5.039,1139.2
224.6,5.05,1133.94,224.3,5.034,1138.2
224.6,5.05,1136.04,224.3,5.037,1139.2
224.6,5.048,1136.04,224.3,5.042,1140.2
225.0,5.053,1135.04,224.3,5.039,1138.2
224.6,5.05,1136.04,224.3,5.034,1140.2
225.0,5.053,1136.04,224.3,5.039,1141.2
224.6,5.048,1136.04,224.3,5.042,1141.2
225.0,5.055,1136.04,224.7,5.042,1139.2
225.0,5.046,1132.94,224.3,5.034,1138.2
224.6,5.046,1133.94,224.3,5.034,1138.2
224.6,5.05,1133.94,224.3,5.032,1137.2
224.2,5.053,1136.04,224.3,5.042,1140.2
224.6,5.043,1133.94,224.3,5.034,1137.2
224.2,5.043,1135.04,224.3,5.039,1139.2
225.0,5.053,1137.04,224.7,5.044,1142.2
225.0,5.055,1139.04,225.2,5.046,1143.2
225.4,5.053,1136.04,224.7,5.042,1141.2
225.0,5.029,1127.94,224.7,5.023,1132.2
