Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
226.6,3.599,814.06,225.4,3.591,815.5
226.6,3.594,812.46,225.8,3.589,813.4
226.2,3.595,812.96,225.4,3.59,814.0
225.8,3.594,812.46,225.4,3.589,813.4
225.8,3.601,812.96,225.4,3.593,814.0
225.8,3.601,815.56,225.4,3.598,816.5
225.8,3.604,815.06,225.8,3.597,815.5
226.2,3.602,816.06,225.8,3.596,818.6
226.6,3.606,816.66,225.8,3.598,817.6
226.6,3.605,817.66,226.2,3.601,819.2
226.6,3.605,819.76,226.2,3.603,820.2
225.8,3.61,820.26,225.8,3.604,819.2
227.0,3.613,818.76,226.6,3.601,818.6
226.6,3.604,816.66,225.8,3.6,818.1
