Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
228.31,3.634,829.679,227.8,3.624,828.7
228.31,3.634,829.679,227.8,3.631,828.7
228.31,3.643,831.733,227.8,3.634,829.8
228.12,3.643,831.041,227.8,3.626,829.8
228.12,3.649,832.41,228.3,3.639,829.8
228.12,3.649,832.41,227.8,3.635,829.2
228.25,3.649,832.884,227.8,3.635,827.1
228.25,3.642,831.286,227.8,3.626,828.1
228.02,3.642,830.449,227.4,3.634,824.4
228.02,3.642,830.449,227.4,3.627,824.4
228.02,3.638,829.537,227.0,3.629,826.5
227.84,3.638,828.882,227.4,3.629,825.5
227.84,3.64,829.338,227.4,3.629,826.5
227.84,3.64,829.338,227.4,3.63,827.6
