Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
231.33,3.686,852.682,231.2,3.665,850.7
231.33,3.687,852.914,230.4,3.666,851.2
231.16,3.687,852.287,230.4,3.665,850.7
231.16,3.687,852.287,230.8,3.663,849.6
231.16,3.684,851.593,230.8,3.669,851.2
231.14,3.684,851.52,230.8,3.669,833.5
231.14,3.655,844.817,228.7,3.633,834.1
231.14,3.655,844.817,228.3,3.633,835.7
228.91,3.655,836.666,228.3,3.635,835.7
228.91,3.66,837.811,228.7,3.64,835.7
228.55,3.66,836.493,228.3,3.635,834.1
228.55,3.66,836.493,228.3,3.635,834.1
228.55,3.654,835.122,228.3,3.633,831.9
228.38,3.654,834.501,228.3,3.63,831.9
