Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
226.51,3.616,819.06,226.6,3.6,818.6
226.74,3.616,819.892,226.2,3.601,819.7
226.74,3.625,821.932,226.6,3.607,821.8
227.23,3.625,823.709,226.6,3.607,822.8
227.23,3.625,823.709,226.6,3.61,822.3
227.23,3.631,825.072,226.6,3.61,822.3
227.0,3.631,824.237,226.6,3.609,820.2
227.0,3.627,823.329,226.2,3.604,820.2
227.0,3.627,823.329,226.2,3.609,821.3
226.88,3.627,822.894,226.6,3.604,821.3
226.88,3.632,824.028,226.6,3.604,822.8
227.05,3.632,824.646,226.6,3.614,822.3
227.05,3.632,824.646,226.6,3.604,822.3
227.05,3.631,824.419,226.6,3.606,821.3
