Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
223.74,8.343,1866.663,223.8,8.322,1871.6
223.67,8.343,1866.079,223.8,8.322,1871.6
223.67,8.335,1864.289,223.8,8.322,1871.6
223.67,8.335,1864.289,224.2,8.322,1874.3
223.76,8.335,1865.04,224.2,8.322,1871.6
223.76,8.344,1867.053,224.2,8.315,1874.3
224.14,8.344,1870.224,224.2,8.335,1882.6
224.14,8.344,1870.224,224.2,8.341,1877.0
224.14,8.338,1868.879,220.2,8.315,1874.3
223.75,8.338,1865.627,224.2,8.341,1877.0
223.75,8.338,1865.627,224.2,8.341,1868.8
223.75,8.328,1863.39,224.2,8.315,1871.6
223.82,8.328,1863.973,224.2,8.315,1871.6
223.82,8.33,1864.421,224.2,8.309,1871.6
