Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
227.9,3.607,822.32,227.0,3.686,824.4
227.4,3.611,822.92,226.6,3.69,823.9
228.7,3.613,823.42,227.0,3.69,823.9
227.4,3.613,821.82,227.0,3.69,824.4
227.4,3.614,820.82,227.0,3.694,822.8
227.4,3.609,820.22,226.6,3.686,821.3
227.0,3.607,819.22,226.2,3.684,821.3
227.0,3.608,819.72,226.2,3.683,821.3
227.9,3.605,821.32,226.2,3.685,822.3
227.0,3.609,821.82,226.6,3.686,822.8
227.4,3.61,821.32,226.6,3.69,822.8
227.4,3.611,821.82,227.0,3.689,822.3
227.4,3.613,822.32,226.6,3.688,824.4
227.4,3.61,821.82,227.0,3.689,823.4
