Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
224.77,5.096,1145.428,225.2,5.051,1145.2
224.77,5.067,1138.91,225.2,5.056,1147.3
224.94,5.067,1139.771,224.7,5.058,1148.3
224.94,5.074,1141.346,224.7,5.058,1145.2
224.94,5.074,1141.346,225.2,5.051,1146.3
224.79,5.074,1140.584,225.2,5.054,1145.2
224.79,5.066,1138.786,225.2,5.051,1145.2
224.71,5.066,1138.381,225.2,5.054,1144.2
224.71,5.066,1138.381,225.2,5.051,1144.2
224.71,5.066,1138.381,224.7,5.046,1144.2
224.77,5.066,1138.685,224.7,5.046,1146.3
224.77,5.068,1139.134,224.7,5.056,1135.2
224.77,5.068,1139.134,223.9,5.03,1134.2
223.62,5.068,1133.306,223.9,5.032,1136.2
223.62,5.063,1132.188,224.3,5.051,1142.2
224.63,5.063,1137.302,224.7,5.049,1144.2
224.63,5.063,1137.302,225.2,5.051,1145.2
224.63,5.067,1138.2,224.7,5.051,1138.2
224.02,5.067,1135.109,224.3,5.034,1141.2
224.02,5.067,1135.109,224.7,5.051,1144.2
224.02,5.067,1135.109,224.7,5.051,1144.2
224.62,5.067,1138.15,225.2,5.049,1142.2
224.62,5.064,1137.476,224.7,5.044,1142.2
224.6,5.064,1137.374,224.7,5.044,1144.2
224.6,5.064,1137.374,225.6,5.049,1145.2
224.6,5.067,1138.048,225.6,5.051,1146.3
224.78,5.067,1138.96,225.6,5.054,1146.3
224.78,5.067,1138.96,225.2,5.049,1146.3
224.78,5.068,1139.185,225.2,5.054,1146.3
224.8,5.068,1139.286,225.2,5.051,1146.3
224.8,5.07,1139.736,225.2,5.051,1144.2
224.8,5.07,1139.736,225.2,5.049,1144.2
