Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
224.2,8.345,1867.56,223.4,8.315,1863.4
224.2,8.339,1864.86,223.0,8.315,1866.1
224.6,8.332,1864.86,223.0,8.296,1863.4
223.8,8.332,1864.86,223.0,8.302,1863.4
226.6,3.647,829.86,225.8,3.639,829.8
227.9,3.636,826.66,226.6,3.628,828.1
227.4,3.636,828.76,227.0,3.625,828.1
227.9,3.637,828.26,227.4,3.625,828.1
227.9,3.633,828.26,227.0,3.624,827.6
227.4,3.63,826.66,227.0,3.622,826.5
227.9,3.63,825.56,227.4,3.615,825.5
227.9,3.625,827.16,227.0,3.617,824.4
227.4,3.626,827.16,227.0,3.62,826.5
227.9,3.627,825.56,227.0,3.615,825.5
