Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
224.68,8.362,1878.774,223.8,8.355,1877.0
224.07,8.362,1873.673,223.8,8.362,1874.3
224.07,8.353,1871.657,223.8,8.368,1877.0
224.07,8.353,1871.657,224.2,8.355,1874.3
224.06,8.353,1871.573,223.8,8.368,1874.3
224.06,8.342,1869.109,224.2,8.368,1877.0
224.71,8.342,1874.531,225.0,8.355,1885.3
224.71,8.342,1874.531,225.0,8.375,1877.0
224.71,8.345,1875.205,225.0,8.355,1882.6
224.54,8.345,1873.786,224.6,8.362,1879.8
224.54,8.358,1876.705,224.6,8.362,1879.8
224.54,8.358,1876.705,224.6,8.362,1882.6
224.51,8.358,1876.455,224.6,8.362,1882.6
224.51,8.36,1876.904,225.0,8.355,1885.3
