Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
226.3,5.122,1159.109,225.8,5.1,1152.9
226.3,5.102,1154.583,225.8,5.09,1153.9
226.35,5.102,1154.838,225.8,5.09,1150.8
226.35,5.102,1154.838,225.8,5.088,1158.1
226.35,5.106,1155.743,226.6,5.102,1157.0
226.98,5.106,1158.96,227.0,5.105,1158.1
226.98,5.109,1159.641,226.2,5.105,1159.1
226.98,5.109,1159.641,226.6,5.105,1159.1
227.09,5.109,1160.203,226.2,5.105,1153.9
227.09,5.107,1159.749,227.0,5.1,1158.1
227.15,5.107,1160.055,227.0,5.102,1160.2
227.15,5.107,1160.055,227.0,5.105,1160.2
227.15,5.11,1160.737,227.4,5.117,1165.5
227.9,5.11,1164.569,227.8,5.117,1163.3
