Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
228.9,0.2686,63.339999999999996,229.0,0.273,63.5
228.9,0.2696,63.54,229.8,0.273,63.6
229.4,0.2676,63.24,229.0,0.273,63.4
228.9,0.2696,63.63999999999999,229.4,0.272,63.9
229.4,0.2696,63.54,229.0,0.274,63.7
229.4,0.2696,63.63999999999999,229.0,0.273,63.6
228.9,0.2686,63.44,229.0,0.272,63.8
228.9,0.2696,63.74,229.4,0.272,63.8
228.9,0.2696,63.339999999999996,229.4,0.273,63.8
229.4,0.2676,63.14,229.4,0.273,63.8
229.4,0.2686,63.339999999999996,229.4,0.272,63.8
228.9,0.2686,63.339999999999996,229.0,0.272,63.7
229.4,0.2686,63.54,229.0,0.273,63.9
231.0,0.2686,64.34,229.0,0.274,64.5
231.5,0.27159999999999995,64.34,231.1,0.273,64.3
