Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
228.1,0.2676,63.160000000000004,457.8,0.536,64.0
228.5,0.2676,63.06,457.8,0.535,63.9
228.5,0.2676,63.06,457.0,0.536,64.2
228.1,0.2686,62.96,457.8,0.534,63.7
228.1,0.2696,63.36,457.8,0.534,63.5
228.1,0.2686,62.96,457.0,0.534,63.7
227.7,0.2676,62.760000000000005,457.0,0.535,63.5
227.7,0.2686,62.96,457.8,0.535,63.8
228.1,0.2686,63.06,457.8,0.534,63.9
228.5,0.2676,62.760000000000005,457.0,0.536,64.0
227.7,0.2676,62.660000000000004,457.0,0.536,63.6
228.1,0.2686,62.86,457.0,0.536,63.7
228.1,0.2676,62.96,457.0,0.534,63.8
228.1,0.2676,63.06,457.8,0.535,63.7
228.1,0.2686,63.160000000000004,458.7,0.536,63.7
