Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
220.7,8.275,1826.06,221.2,8.257,1824.1
220.3,8.262,1823.46,220.8,8.251,1818.9
220.3,8.25,1820.86,220.8,8.238,1816.3
220.3,8.243,1818.26,220.8,8.238,1818.9
220.7,8.25,1818.26,220.4,8.238,1818.9
220.3,8.243,1820.86,220.4,8.232,1816.3
220.7,8.243,1818.26,220.4,8.232,1816.3
220.3,8.243,1820.86,220.4,8.232,1818.9
220.7,8.25,1820.86,220.8,8.244,1816.3
220.3,8.243,1815.66,220.4,8.232,1813.8
220.3,8.231,1815.66,220.4,8.225,1811.2
220.3,8.231,1810.56,220.0,8.219,1808.6
219.9,8.224,1808.06,219.6,8.219,1806.1
220.3,8.224,1815.66,220.4,8.219,1813.8
220.3,8.237,1815.66,220.4,8.225,1813.8
220.3,8.231,1813.16,220.0,8.225,1811.2
219.9,8.218,1813.16,220.4,8.225,1811.2
219.9,8.231,1815.66,220.4,8.232,1813.8
220.3,8.237,1818.26,220.4,8.232,1816.3
220.3,8.243,1815.66,220.4,8.238,1813.8
220.3,8.237,1815.66,220.4,8.238,1813.8
220.3,8.243,1818.26,220.4,8.238,1811.2
220.3,8.237,1815.66,220.4,8.238,1813.8
220.3,8.231,1815.66,220.4,8.225,1813.8
220.3,8.231,1826.06,221.2,8.225,1824.1
220.7,8.256,1823.46,220.8,8.251,1821.5
220.7,8.256,1823.46,220.8,8.251,1821.5
220.7,8.256,1826.06,220.8,8.251,1824.1
221.1,8.262,1828.66,221.2,8.257,1826.7
221.1,8.25,1818.26,220.4,8.251,1816.3
220.7,8.224,1810.56,220.0,8.219,1808.6
220.3,8.224,1813.16,220.0,8.219,1811.2
