Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
228.3,0.264,62.3,228.3,0.271,61.7
228.3,0.264,62.3,228.7,0.27,61.7
228.3,0.264,62.6,228.3,0.271,62.0
227.9,0.264,62.2,228.3,0.271,61.7
227.9,0.266,62.3,227.9,0.271,61.4
227.9,0.264,62.2,227.9,0.27,61.6
227.9,0.264,62.5,227.9,0.27,61.8
228.3,0.264,62.1,228.7,0.27,61.7
228.3,0.264,62.2,228.3,0.27,61.6
227.9,0.265,62.2,228.3,0.27,61.7
227.9,0.264,62.0,228.3,0.27,61.7
227.9,0.265,62.1,228.3,0.271,61.9
227.9,0.264,62.4,228.3,0.271,61.8
228.3,0.264,62.2,228.3,0.271,61.5
228.3,0.264,62.4,228.3,0.27,61.6
227.9,0.264,62.5,228.3,0.27,61.7
227.9,0.265,62.5,228.3,0.27,61.9
227.9,0.264,62.2,228.3,0.27,61.7
228.3,0.266,62.3,228.3,0.27,61.7
228.3,0.266,62.3,228.3,0.27,61.7
228.3,0.264,62.4,228.7,0.27,61.6
228.3,0.265,62.3,228.7,0.271,61.9
228.3,0.265,61.2,228.3,0.268,60.6
225.4,0.262,61.2,225.9,0.269,60.9
225.4,0.263,61.5,225.9,0.269,60.8
225.4,0.263,61.5,225.9,0.269,60.8
225.4,0.263,61.4,226.3,0.269,60.6
226.2,0.263,61.3,225.9,0.268,60.8
225.8,0.262,61.3,225.9,0.269,60.7
225.8,0.263,61.5,225.9,0.269,60.9
225.8,0.263,61.2,225.9,0.269,60.7
225.8,0.262,61.3,225.5,0.269,60.6
