Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
229.1,0.263,62.9,229.2,0.271,62.2
229.1,0.264,62.9,229.2,0.271,62.0
229.1,0.264,62.9,229.2,0.271,62.2
229.1,0.263,62.7,229.2,0.271,62.1
228.7,0.264,62.5,229.2,0.27,61.8
228.7,0.264,62.7,228.7,0.271,62.1
229.1,0.265,63.0,229.2,0.27,62.1
229.1,0.265,62.9,229.2,0.271,62.0
228.7,0.264,62.7,228.7,0.27,62.0
229.1,0.264,63.0,229.6,0.271,62.3
229.1,0.264,62.7,229.6,0.271,62.1
229.1,0.264,62.7,229.6,0.27,62.3
229.5,0.265,63.0,230.0,0.271,62.4
229.5,0.265,63.3,229.6,0.271,62.2
229.5,0.265,63.0,229.6,0.271,62.1
229.1,0.265,62.8,229.6,0.27,62.0
229.1,0.265,63.0,229.2,0.27,62.2
229.1,0.264,62.8,229.6,0.27,62.1
229.1,0.264,62.9,229.6,0.271,62.0
229.5,0.263,63.0,229.6,0.27,62.3
229.5,0.264,62.9,229.6,0.271,62.3
229.1,0.264,62.8,229.6,0.271,62.2
229.5,0.263,62.9,229.6,0.272,62.2
229.5,0.264,63.2,229.6,0.271,62.6
229.5,0.264,63.1,230.0,0.271,62.3
229.9,0.264,63.0,230.0,0.271,62.5
229.5,0.264,63.0,230.0,0.271,62.5
229.5,0.264,63.0,230.0,0.271,62.2
229.9,0.264,63.1,230.0,0.271,62.2
229.9,0.264,63.0,230.0,0.271,62.4
229.9,0.265,63.1,230.0,0.271,62.5
229.9,0.265,63.3,230.0,0.271,62.6
