Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
227.4,0.264,62.2,228.3,0.27,61.9
228.3,0.265,62.6,228.3,0.27,61.8
228.3,0.265,62.4,228.3,0.27,61.9
228.3,0.264,62.5,228.3,0.27,61.8
227.9,0.263,62.2,228.3,0.271,61.8
227.9,0.264,62.1,227.9,0.27,61.8
227.9,0.264,62.2,227.9,0.27,61.7
227.9,0.263,62.3,227.9,0.271,61.7
227.9,0.264,62.7,227.9,0.271,61.7
227.9,0.263,62.5,227.5,0.27,61.5
227.4,0.263,61.7,227.9,0.269,61.2
227.0,0.263,61.8,227.1,0.27,61.3
227.0,0.262,61.9,227.1,0.27,61.3
226.6,0.263,61.8,226.7,0.27,61.2
226.6,0.263,61.5,226.7,0.27,61.2
227.0,0.263,62.0,226.7,0.27,61.4
227.0,0.262,61.8,226.7,0.269,61.3
227.0,0.263,62.2,227.1,0.27,61.2
227.0,0.264,61.9,227.1,0.27,61.5
227.4,0.263,61.9,227.1,0.27,61.3
226.6,0.264,61.8,227.1,0.269,61.6
227.0,0.264,62.2,227.1,0.27,61.4
228.3,0.264,62.0,227.5,0.27,61.3
227.0,0.263,61.7,227.1,0.27,61.2
227.0,0.263,61.8,227.1,0.27,61.1
227.0,0.265,61.7,227.1,0.269,61.3
227.0,0.263,61.6,227.1,0.269,61.3
227.0,0.263,62.1,227.5,0.27,61.3
227.4,0.264,61.9,227.5,0.27,61.3
227.4,0.263,61.9,227.5,0.269,61.5
227.0,0.265,62.5,227.5,0.27,61.3
227.0,0.265,62.2,227.5,0.27,61.6
