Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
226.6,0.262,61.7,227.1,0.269,61.2
226.6,0.262,61.8,227.1,0.269,61.1
227.4,0.262,62.1,227.5,0.269,61.5
227.0,0.262,61.7,227.5,0.27,61.3
227.0,0.262,61.7,227.5,0.269,61.2
227.0,0.262,62.1,227.5,0.27,61.3
227.4,0.262,61.9,227.5,0.27,61.6
227.9,0.262,61.9,227.5,0.269,61.4
227.4,0.262,62.3,227.9,0.271,61.7
227.9,0.261,62.0,227.9,0.271,61.5
227.4,0.263,62.1,227.5,0.27,61.7
226.6,0.262,61.8,226.7,0.27,61.1
226.6,0.26,61.7,227.1,0.269,61.3
226.6,0.261,61.9,227.1,0.269,61.1
226.6,0.262,62.1,227.1,0.27,61.1
226.6,0.262,61.9,226.7,0.269,61.1
227.0,0.262,61.8,227.5,0.269,61.1
227.0,0.263,61.7,227.1,0.269,61.2
227.0,0.262,60.1,222.3,0.269,59.8
222.2,0.26,61.5,225.9,0.269,60.8
225.8,0.261,61.3,225.9,0.268,60.6
225.4,0.261,61.5,225.5,0.268,60.7
225.8,0.261,61.1,225.5,0.269,60.7
225.4,0.26,61.2,225.5,0.269,60.6
225.4,0.261,61.2,225.5,0.269,60.6
225.4,0.261,61.1,225.5,0.27,60.3
225.4,0.26,61.0,225.1,0.268,60.4
225.0,0.26,61.0,224.7,0.268,60.3
224.6,0.26,61.0,224.7,0.268,60.1
224.6,0.26,61.0,225.1,0.268,60.2
224.6,0.261,61.0,224.7,0.269,60.5
225.4,0.26,61.2,225.5,0.269,60.7
