Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
226.6,3.615,822.74,227.5,3.619,821.3
225.8,3.62,818.04,225.9,3.62,818.2
226.2,3.616,819.04,226.3,3.613,817.7
226.6,3.615,823.24,226.7,3.613,822.9
226.6,3.626,823.74,227.1,3.625,822.9
226.6,3.624,823.24,227.1,3.626,821.9
226.2,3.621,822.14,226.7,3.625,821.3
226.6,3.625,823.24,227.1,3.625,821.9
226.6,3.619,822.74,227.9,3.625,820.8
226.2,3.619,821.64,226.7,3.621,821.3
226.2,3.621,821.64,227.1,3.623,821.9
226.6,3.62,821.64,226.7,3.624,820.3
226.2,3.619,821.64,226.7,3.62,820.8
226.6,3.62,821.14,226.7,3.619,820.8
226.2,3.617,816.94,226.7,3.618,816.1
226.2,3.613,817.44,226.3,3.61,816.1
225.8,3.613,816.94,226.3,3.613,819.8
226.6,3.619,821.14,226.3,3.619,820.3
226.6,3.615,821.14,226.7,3.616,819.8
226.6,3.619,821.64,226.7,3.619,820.8
226.6,3.617,820.64,226.3,3.62,819.8
226.2,3.62,821.64,226.7,3.621,820.8
226.6,3.617,821.64,226.7,3.62,821.3
226.6,3.617,820.04,225.9,3.621,815.1
225.8,3.608,817.44,225.9,3.61,816.6
225.8,3.609,817.44,225.9,3.614,816.6
226.2,3.614,818.54,225.9,3.615,818.2
226.2,3.617,819.54,226.3,3.615,819.2
226.2,3.616,817.44,226.3,3.618,817.7
225.8,3.613,819.54,226.3,3.614,817.7
226.2,3.615,819.54,226.3,3.616,818.7
225.8,3.622,822.74,226.7,3.623,821.3
