Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
228.5,0.27180000000000004,63.08,457.8,0.535,64.1
228.1,0.27180000000000004,63.28,457.8,0.536,63.9
228.1,0.27180000000000004,63.38,457.8,0.534,63.8
228.5,0.27180000000000004,63.38,458.7,0.536,63.9
227.7,0.27280000000000004,63.38,457.8,0.536,63.9
227.7,0.27180000000000004,63.18,457.8,0.534,63.7
227.7,0.27180000000000004,62.88,456.2,0.535,63.5
227.7,0.27180000000000004,63.18,457.0,0.534,63.8
227.7,0.27180000000000004,63.28,457.0,0.535,63.7
228.1,0.27180000000000004,63.18,457.8,0.535,63.5
227.7,0.27180000000000004,63.28,457.0,0.534,63.7
228.1,0.27280000000000004,63.28,456.2,0.534,63.8
228.1,0.27280000000000004,63.28,457.0,0.535,63.8
228.1,0.27180000000000004,62.88,457.0,0.534,63.4
227.7,0.27180000000000004,63.38,457.0,0.535,63.8
