Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
231.6,0.266,63.8,231.7,0.274,63.5
231.2,0.266,64.2,231.7,0.274,63.6
231.6,0.266,64.7,232.1,0.274,63.6
231.6,0.267,64.3,231.7,0.274,63.4
231.6,0.268,64.4,232.1,0.274,63.5
231.6,0.266,63.7,230.4,0.273,63.1
230.4,0.266,63.6,230.4,0.272,63.1
230.8,0.267,63.6,230.4,0.273,63.0
230.4,0.265,63.8,230.0,0.273,63.0
230.4,0.265,63.7,230.4,0.273,63.1
230.8,0.266,64.1,230.8,0.273,62.9
230.4,0.266,63.7,230.4,0.273,62.9
230.4,0.267,63.5,230.4,0.273,63.0
231.2,0.267,63.8,231.7,0.273,63.4
231.2,0.267,64.0,231.7,0.273,63.3
231.2,0.268,63.9,231.3,0.274,63.5
231.2,0.266,63.9,231.3,0.273,63.2
231.2,0.266,63.6,231.3,0.272,62.9
231.2,0.265,64.1,231.3,0.272,63.3
231.2,0.266,63.8,230.8,0.274,63.4
231.2,0.268,63.7,231.3,0.273,63.7
231.2,0.267,64.0,231.3,0.274,63.1
231.2,0.266,63.8,231.3,0.273,63.1
231.2,0.268,64.0,231.3,0.273,63.3
231.2,0.266,63.8,231.3,0.273,63.4
231.2,0.266,63.8,231.3,0.273,63.1
230.8,0.266,63.8,230.8,0.273,63.1
230.8,0.266,63.9,230.8,0.273,63.2
230.8,0.267,64.2,231.3,0.273,63.2
230.8,0.267,63.8,230.8,0.273,63.0
229.9,0.266,63.2,230.0,0.273,62.9
229.9,0.266,63.4,230.0,0.273,62.6
