Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
225.41,3.599,811.251,225.2,3.604,812.0
225.48,3.603,812.404,225.6,3.615,816.2
225.67,3.603,813.089,225.6,3.618,815.1
225.6,3.613,815.093,225.6,3.619,815.7
225.6,3.615,815.544,225.2,3.616,816.2
225.82,3.613,815.888,225.2,3.615,813.6
225.51,3.609,813.866,225.2,3.612,814.1
225.35,3.609,813.288,225.2,3.613,813.6
225.29,3.609,813.072,225.2,3.613,813.1
225.29,3.609,813.072,225.2,3.615,813.6
225.4,3.61,813.694,225.2,3.613,814.6
225.27,3.61,813.225,225.2,3.609,811.5
225.15,3.61,812.792,224.8,3.612,813.6
225.15,3.607,812.116,225.6,3.614,816.2
225.46,3.621,816.391,226.0,3.621,819.3
225.91,3.621,818.02,226.0,3.624,821.4
226.51,3.62,819.966,226.8,3.633,823.0
226.51,3.629,822.005,226.8,3.631,823.0
226.56,3.631,822.639,227.2,3.634,825.7
226.89,3.631,823.838,227.2,3.63,828.9
227.58,3.634,827.026,228.0,3.635,823.0
226.6,3.644,825.73,226.8,3.63,824.1
226.6,3.63,822.558,226.4,3.63,822.0
226.63,3.623,821.08,226.4,3.63,821.4
226.42,3.623,820.32,226.4,3.625,822.0
226.47,3.623,820.501,226.4,3.628,819.9
226.47,3.62,819.821,226.4,3.625,820.9
226.38,3.623,820.175,226.0,3.623,818.3
226.05,3.623,818.979,226.0,3.624,819.9
226.16,3.62,818.699,226.0,3.621,820.4
226.16,3.62,818.699,226.0,3.616,818.3
225.9,3.617,817.08,226.0,3.623,819.9
