Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
224.6,3.586,808.82,224.7,3.59,807.9
225.0,3.589,810.32,225.1,3.594,809.9
225.0,3.593,812.92,225.5,3.598,813.5
224.6,3.598,811.32,225.1,3.604,811.5
225.0,3.598,813.42,225.5,3.603,812.0
225.0,3.598,812.42,225.5,3.603,811.5
225.0,3.598,811.32,225.1,3.602,810.4
225.0,3.597,810.82,225.1,3.599,810.4
224.6,3.597,812.42,225.1,3.598,810.4
225.0,3.598,811.82,225.1,3.598,810.9
224.6,3.598,810.32,224.7,3.598,808.9
224.6,3.596,808.82,224.7,3.597,809.4
225.0,3.597,810.82,224.7,3.602,810.9
225.0,3.597,810.82,224.7,3.602,808.9
224.6,3.591,810.82,225.1,3.594,809.9
225.0,3.595,811.32,225.1,3.598,810.9
225.4,3.595,813.42,225.5,3.604,812.5
225.4,3.598,814.42,225.5,3.603,813.5
225.4,3.601,813.92,225.5,3.603,813.0
225.4,3.601,813.42,225.5,3.602,812.5
225.4,3.599,812.92,225.5,3.598,812.5
225.8,3.598,813.42,225.5,3.604,812.5
225.4,3.601,813.92,225.5,3.603,813.5
225.0,3.602,812.92,225.5,3.604,812.0
225.0,3.597,812.42,225.5,3.601,812.0
225.4,3.599,810.82,225.1,3.603,810.9
225.0,3.597,811.82,225.5,3.602,810.9
225.4,3.595,813.42,225.5,3.597,812.0
225.4,3.601,812.92,225.5,3.601,812.0
225.4,3.601,813.42,225.5,3.601,811.5
225.4,3.596,813.92,225.5,3.601,813.0
224.6,3.602,812.42,225.1,3.599,812.0
