Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
225.8,3.606,814.96,226.3,3.604,815.1
225.8,3.607,813.46,225.9,3.607,809.4
224.6,3.599,810.86,225.1,3.598,809.9
225.0,3.596,810.36,225.1,3.598,810.4
224.6,3.6,812.46,225.5,3.598,812.0
225.0,3.6,811.36,225.5,3.603,810.9
225.0,3.598,811.86,225.1,3.596,810.9
225.0,3.598,810.36,225.1,3.601,809.9
225.4,3.598,809.86,225.1,3.598,808.9
225.0,3.596,809.36,224.7,3.597,808.4
225.0,3.594,808.86,224.7,3.597,807.4
224.6,3.593,809.36,225.1,3.593,808.4
224.6,3.592,809.36,224.7,3.594,808.9
225.0,3.594,809.36,224.7,3.598,808.9
225.0,3.596,811.36,225.1,3.597,809.9
225.0,3.598,810.36,225.1,3.597,809.9
225.0,3.599,811.36,225.5,3.596,809.4
224.6,3.596,810.36,225.1,3.597,810.4
225.0,3.599,810.86,225.1,3.599,810.4
225.0,3.595,810.36,225.1,3.597,809.9
224.6,3.595,809.86,225.1,3.593,809.4
224.6,3.596,807.86,225.1,3.597,807.9
224.6,3.592,801.76,223.9,3.592,799.8
224.6,3.575,807.86,224.7,3.59,806.9
224.6,3.592,810.36,225.1,3.592,809.4
224.6,3.596,808.86,225.1,3.598,808.4
225.0,3.595,808.36,225.1,3.598,807.9
224.6,3.593,806.76,224.7,3.592,806.3
224.6,3.587,808.36,224.3,3.592,807.9
224.6,3.593,807.36,224.7,3.59,806.9
224.2,3.59,806.76,224.7,3.593,806.3
224.2,3.589,807.36,224.7,3.593,806.3
