Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
229.9,0.263,62.98,230.0,0.271,62.5
229.9,0.263,63.08,230.4,0.271,62.8
229.9,0.263,62.78,230.0,0.272,62.5
229.9,0.263,62.78,230.0,0.272,62.5
229.9,0.263,62.88,230.0,0.272,62.3
229.9,0.263,62.78,230.0,0.272,62.5
230.4,0.263,62.88,230.0,0.272,62.4
229.9,0.263,62.78,230.0,0.271,62.4
229.9,0.263,62.78,230.0,0.271,62.4
229.9,0.263,62.78,230.0,0.271,62.4
230.4,0.264,63.08,230.4,0.272,62.6
229.9,0.263,62.58,230.0,0.272,62.6
229.9,0.263,62.58,230.0,0.271,62.7
229.5,0.262,62.58,230.0,0.271,62.4
229.9,0.262,62.98,230.0,0.272,62.5
229.9,0.263,62.88,230.0,0.271,62.5
230.4,0.263,62.78,230.4,0.271,62.6
230.4,0.262,62.78,230.4,0.272,62.4
229.9,0.263,62.88,230.0,0.271,62.6
229.9,0.263,62.78,230.4,0.271,62.7
229.9,0.263,62.98,230.4,0.271,62.5
229.9,0.262,62.68,230.4,0.272,62.4
229.5,0.262,62.98,230.0,0.271,62.5
229.5,0.263,62.58,230.0,0.271,62.3
229.5,0.262,62.98,230.0,0.271,62.3
229.9,0.264,62.68,230.0,0.272,62.6
229.9,0.265,62.58,230.0,0.272,62.3
229.9,0.263,62.88,230.0,0.271,62.3
229.9,0.261,63.08,230.0,0.271,62.5
229.9,0.263,62.78,230.4,0.272,62.5
229.9,0.263,62.78,230.0,0.272,62.7
229.9,0.262,62.88,230.4,0.272,62.6
