Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
228.7,0.265,62.4,228.3,0.271,61.9
228.3,0.265,62.6,228.3,0.27,62.1
228.3,0.264,62.3,228.3,0.27,62.0
228.3,0.266,62.7,228.3,0.27,61.9
228.7,0.265,62.4,228.3,0.271,61.9
228.7,0.265,62.6,229.2,0.27,61.9
228.3,0.265,62.6,228.7,0.27,61.7
228.3,0.265,62.4,228.3,0.27,61.9
228.3,0.265,62.5,229.2,0.271,61.9
228.3,0.265,62.4,228.7,0.271,61.7
228.7,0.265,62.3,228.7,0.27,61.9
228.3,0.264,62.5,228.3,0.27,62.0
228.3,0.264,62.8,228.7,0.271,62.1
229.1,0.265,63.0,229.6,0.271,62.3
229.1,0.266,62.8,230.0,0.271,62.2
229.1,0.266,62.7,229.6,0.271,61.8
229.1,0.265,62.4,229.2,0.271,62.1
228.7,0.264,62.4,228.7,0.27,61.9
228.3,0.265,62.6,228.7,0.271,62.0
229.1,0.265,62.4,229.2,0.27,61.9
229.1,0.263,63.1,229.2,0.27,62.0
229.1,0.265,63.0,230.4,0.27,62.1
229.1,0.266,62.7,229.2,0.271,62.1
229.1,0.265,62.8,229.2,0.272,62.1
228.7,0.265,62.8,229.6,0.271,61.9
228.7,0.264,62.8,229.6,0.271,62.0
228.7,0.264,62.8,229.2,0.271,62.0
228.7,0.265,62.6,229.2,0.27,61.8
228.7,0.265,62.6,229.2,0.27,61.8
228.7,0.265,62.8,229.2,0.27,61.9
228.7,0.265,62.4,229.2,0.271,62.1
228.7,0.265,62.9,229.2,0.271,61.9
