Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
222.49,3.565,793.177,222.4,3.573,795.8
222.78,3.565,794.211,222.4,3.575,795.8
222.64,3.573,795.493,222.4,3.575,796.8
222.64,3.572,795.27,222.4,3.577,794.4
222.7,3.569,794.816,222.4,3.575,795.3
222.63,3.569,794.566,221.2,3.549,794.4
222.53,3.551,790.204,222.0,3.57,793.9
222.53,3.57,794.432,222.4,3.57,792.9
222.4,3.569,793.746,221.6,3.568,792.9
222.08,3.569,792.604,222.0,3.567,792.4
222.16,3.565,792.0,222.0,3.567,791.9
222.16,3.564,791.778,222.0,3.567,791.4
222.11,3.565,791.822,222.0,3.567,791.9
222.26,3.565,792.357,221.6,3.567,790.4
222.28,3.563,791.984,222.0,3.567,793.9
222.28,3.565,792.428,222.0,3.57,793.4
222.14,3.567,792.373,221.6,3.569,792.9
222.51,3.567,793.693,222.0,3.568,792.9
222.32,3.566,792.793,221.6,3.569,792.9
222.32,3.565,792.571,222.0,3.563,789.9
222.16,3.562,791.334,221.6,3.561,790.4
221.6,3.562,789.339,221.2,3.565,789.4
221.79,3.56,789.572,221.6,3.562,790.4
222.14,3.562,791.263,222.4,3.568,792.9
222.14,3.565,791.929,222.0,3.569,792.4
222.28,3.569,793.317,222.4,3.57,792.9
222.34,3.569,793.531,222.0,3.564,790.9
221.95,3.561,790.364,222.0,3.565,789.4
221.95,3.559,789.92,222.0,3.564,791.4
222.02,3.564,791.279,222.0,3.584,798.3
223.08,3.564,795.057,222.4,3.577,797.3
223.21,3.576,798.199,223.2,3.585,800.3
