Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
224.9,0.266,61.720000000000006,225.3,0.267,61.8
224.9,0.266,61.720000000000006,224.9,0.267,61.5
225.3,0.265,61.82,224.1,0.266,61.8
224.9,0.266,61.92,224.9,0.266,61.6
224.9,0.266,61.92,224.9,0.265,62.1
225.3,0.266,61.82,224.9,0.266,61.8
225.3,0.266,61.620000000000005,224.9,0.267,61.7
225.3,0.267,61.720000000000006,225.3,0.266,61.8
225.3,0.265,61.620000000000005,224.9,0.266,61.9
225.3,0.266,61.92,225.3,0.267,62.0
225.3,0.266,62.02,224.9,0.267,61.8
224.9,0.266,61.92,224.9,0.266,61.8
225.3,0.266,61.82,225.3,0.267,61.9
225.3,0.266,61.92,225.3,0.266,61.8
225.7,0.267,61.720000000000006,225.3,0.266,61.6
