Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
231.7,0.302,69.973,232.1,0.272,63.2
231.7,0.301,69.742,231.7,0.272,63.1
231.14,0.3,69.342,231.3,0.272,63.1
231.18,0.3,69.354,232.5,0.272,62.8
230.98,0.3,69.294,231.3,0.271,62.5
230.98,0.3,69.294,231.3,0.272,63.0
230.96,0.301,69.519,231.3,0.271,62.9
231.05,0.301,69.546,231.3,0.272,62.8
231.29,0.299,69.156,231.7,0.272,62.8
231.1,0.302,69.792,232.1,0.272,63.0
231.1,0.299,69.099,231.7,0.272,63.2
231.68,0.3,69.504,232.5,0.272,63.0
231.47,0.3,69.441,231.7,0.272,62.9
231.2,0.3,69.36,231.3,0.272,62.7
231.2,0.299,69.129,231.3,0.272,62.7
231.14,0.3,69.342,231.3,0.272,62.9
231.34,0.3,69.402,231.7,0.272,63.0
231.19,0.3,69.357,232.1,0.272,62.8
231.19,0.302,69.819,231.7,0.272,63.0
230.94,0.301,69.513,231.7,0.272,62.8
231.24,0.301,69.603,230.8,0.271,62.7
230.7,0.3,69.21,230.8,0.271,62.6
230.7,0.299,68.979,230.4,0.272,62.4
230.3,0.301,69.32,230.0,0.271,62.6
229.95,0.301,69.215,230.4,0.271,62.8
230.82,0.299,69.015,230.8,0.272,62.7
230.84,0.299,69.021,230.8,0.272,62.8
230.84,0.3,69.252,231.7,0.272,63.3
231.56,0.3,69.468,231.7,0.272,62.8
231.35,0.3,69.405,231.7,0.272,63.1
231.48,0.301,69.675,231.7,0.271,62.9
231.48,0.3,69.444,231.7,0.271,63.1
