Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
223.4,8.356,1870.96,223.5,8.348,1869.4
223.4,8.35,1868.16,223.5,8.348,1866.6
223.8,8.343,1868.16,223.5,8.342,1866.6
223.8,8.343,1865.46,223.5,8.342,1863.9
223.4,8.337,1865.46,223.5,8.335,1866.6
223.4,8.337,1865.46,223.5,8.335,1863.9
223.8,8.337,1868.16,223.5,8.335,1866.6
223.8,8.337,1868.16,223.1,8.335,1869.4
223.8,8.337,1868.16,223.5,8.342,1866.6
223.8,8.343,1868.16,223.9,8.342,1866.6
223.4,8.337,1868.16,223.5,8.342,1866.6
223.8,8.337,1868.16,223.9,8.342,1869.4
224.2,8.337,1862.76,223.5,8.342,1861.2
223.4,8.33,1852.06,223.5,8.322,1850.5
222.6,8.311,1852.06,222.7,8.309,1850.5
223.0,8.311,1857.36,222.7,8.309,1853.1
222.6,8.304,1852.06,222.7,8.315,1850.5
222.6,8.304,1852.06,222.7,8.302,1850.5
222.6,8.304,1854.76,222.7,8.309,1855.8
223.0,8.311,1857.36,223.1,8.309,1853.1
223.0,8.311,1860.06,223.1,8.315,1858.5
223.4,8.324,1860.06,223.1,8.322,1861.2
223.4,8.33,1862.76,223.1,8.328,1858.5
223.0,8.324,1860.06,223.5,8.328,1861.2
223.8,8.33,1865.46,223.5,8.322,1863.9
223.4,8.337,1862.76,223.5,8.328,1861.2
223.4,8.33,1862.76,223.1,8.322,1861.2
223.4,8.324,1860.06,223.9,8.322,1858.5
223.0,8.317,1857.36,223.1,8.315,1855.8
223.0,8.311,1857.36,223.1,8.315,1853.1
222.6,8.317,1860.06,223.1,8.315,1855.8
223.0,8.317,1862.76,223.1,8.322,1861.2
