Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
225.84,3.596,812.121,225.9,3.604,815.6
225.39,3.607,812.982,226.3,3.612,816.1
225.37,3.607,812.91,225.9,3.61,815.6
225.5,3.61,814.055,225.9,3.612,816.6
225.5,3.61,814.055,225.9,3.614,817.7
225.46,3.615,815.038,226.3,3.615,818.7
225.7,3.615,815.906,226.3,3.614,818.2
225.8,3.613,815.815,226.7,3.618,818.2
225.8,3.615,816.267,226.3,3.612,816.6
225.58,3.612,814.795,226.3,3.614,815.6
225.34,3.612,813.928,226.3,3.612,816.6
225.41,3.613,814.406,226.3,3.612,816.1
225.41,3.612,814.181,225.9,3.608,815.6
225.42,3.603,812.188,225.5,3.601,813.5
225.04,3.603,810.819,225.5,3.597,808.9
224.52,3.598,807.823,225.1,3.598,811.5
224.52,3.599,808.047,225.1,3.601,810.4
224.73,3.596,808.129,225.1,3.599,809.9
224.67,3.596,807.913,225.1,3.597,808.9
224.43,3.599,807.724,224.7,3.599,810.4
224.43,3.596,807.05,225.1,3.599,809.9
224.53,3.598,807.859,225.5,3.599,813.0
224.66,3.598,808.327,225.5,3.607,813.5
224.86,3.602,809.946,225.1,3.604,812.0
224.86,3.604,810.395,225.1,3.601,812.0
224.56,3.602,808.865,225.1,3.603,810.9
224.8,3.602,809.73,225.5,3.602,809.4
224.47,3.603,808.765,224.3,3.593,808.9
224.47,3.589,805.623,223.9,3.597,803.3
224.29,3.582,803.407,224.7,3.599,809.9
224.34,3.582,803.586,225.1,3.598,809.4
224.26,3.594,805.99,224.7,3.594,807.4
