Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
228.3,3.637,832.94,228.3,3.641,833.1
228.3,3.639,834.04,228.3,3.648,833.6
228.3,3.647,834.54,228.7,3.646,833.6
228.3,3.649,833.44,228.7,3.645,832.0
228.3,3.643,834.04,228.3,3.648,831.5
228.3,3.644,834.54,228.3,3.645,833.6
228.3,3.641,832.44,228.3,3.644,832.6
228.3,3.647,832.44,228.7,3.641,832.6
228.7,3.646,834.54,228.7,3.648,834.2
229.1,3.648,835.64,228.7,3.649,834.2
228.3,3.648,835.14,228.7,3.649,835.3
228.7,3.651,836.24,228.7,3.646,835.3
228.7,3.648,836.74,228.7,3.648,836.4
228.7,3.652,836.74,228.7,3.651,835.3
228.7,3.647,836.74,228.7,3.65,835.8
228.3,3.652,835.14,228.7,3.648,835.8
228.3,3.651,835.14,228.3,3.646,834.2
228.3,3.649,835.14,228.7,3.65,833.6
228.3,3.648,836.24,228.3,3.649,834.7
228.3,3.649,835.64,228.7,3.65,834.7
228.3,3.653,834.04,228.7,3.648,834.2
228.7,3.653,836.74,228.7,3.654,835.8
228.7,3.651,837.24,228.7,3.654,836.9
229.1,3.653,839.44,229.2,3.658,835.8
228.3,3.652,834.54,228.7,3.646,834.2
228.3,3.647,834.54,228.7,3.648,833.1
228.7,3.649,836.24,228.7,3.654,834.7
227.4,3.627,825.94,226.7,3.631,825.0
227.0,3.625,826.54,227.1,3.629,826.1
227.0,3.632,824.44,227.5,3.629,824.0
227.0,3.627,824.44,227.5,3.625,823.5
226.6,3.628,822.84,227.1,3.625,821.3
