Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
225.51,3.605,812.964,225.9,3.608,816.1
225.51,3.606,813.189,225.9,3.616,818.2
225.56,3.613,814.948,225.5,3.605,812.0
224.87,3.601,809.757,225.5,3.607,813.0
224.85,3.601,809.685,224.7,3.605,813.5
224.96,3.601,810.081,225.5,3.607,812.0
224.96,3.602,810.306,225.9,3.616,817.7
225.29,3.613,813.973,225.9,3.612,815.6
225.28,3.613,813.937,225.9,3.609,817.2
225.48,3.608,813.532,225.9,3.615,816.1
225.48,3.61,813.983,225.5,3.61,815.1
225.33,3.609,813.216,225.5,3.605,814.6
225.13,3.609,812.494,225.5,3.613,815.6
225.34,3.61,813.477,225.9,3.607,815.1
225.34,3.608,813.027,225.9,3.613,816.6
225.43,3.608,813.351,225.9,3.613,815.1
225.26,3.608,812.738,225.9,3.609,815.6
225.4,3.609,813.469,225.9,3.615,816.6
225.4,3.613,814.37,225.9,3.608,814.0
225.24,3.604,811.765,225.5,3.605,814.0
224.95,3.604,810.72,225.9,3.612,814.0
225.14,3.606,811.855,225.9,3.605,814.6
225.14,3.606,811.855,225.5,3.61,814.0
225.1,3.605,811.486,225.9,3.607,815.1
225.11,3.605,811.522,225.5,3.607,813.5
225.31,3.605,812.243,225.9,3.612,815.1
225.31,3.61,813.369,225.5,3.609,814.6
225.16,3.606,811.927,225.5,3.609,813.0
224.94,3.606,811.134,225.9,3.605,814.0
225.31,3.608,812.918,225.9,3.613,816.6
225.37,3.61,813.586,225.9,3.616,816.6
225.37,3.61,813.586,225.9,3.613,816.1
