Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
229.5,0.264,63.04,230.4,0.271,62.1
229.5,0.264,62.94,230.0,0.27,61.9
229.1,0.263,62.94,229.6,0.27,62.3
229.1,0.265,62.94,229.6,0.271,62.1
229.5,0.265,62.74,229.6,0.271,62.0
229.5,0.263,62.74,229.2,0.271,62.0
229.1,0.264,62.84,229.2,0.27,62.1
229.1,0.264,62.74,229.2,0.271,62.2
228.7,0.264,62.94,228.7,0.272,62.2
229.1,0.264,62.94,229.6,0.272,62.0
229.5,0.264,63.14,229.2,0.271,62.2
229.1,0.266,62.84,229.6,0.271,62.2
229.1,0.264,63.04,229.6,0.271,62.2
229.1,0.264,62.74,229.6,0.271,62.1
229.1,0.264,62.64,229.6,0.271,62.2
229.1,0.264,62.74,229.6,0.271,62.1
229.1,0.264,62.54,229.6,0.271,62.1
229.5,0.263,62.74,229.6,0.271,62.4
229.9,0.263,63.04,230.0,0.271,62.3
229.5,0.263,62.94,230.0,0.271,62.2
229.9,0.264,62.64,230.0,0.271,62.2
229.9,0.264,63.24,230.0,0.271,62.3
229.5,0.264,62.84,229.6,0.271,62.2
229.5,0.265,62.94,229.6,0.271,62.3
229.5,0.264,62.94,230.0,0.271,61.9
229.5,0.265,62.84,230.0,0.271,62.3
229.9,0.266,63.04,229.6,0.271,62.2
229.5,0.265,62.84,230.0,0.271,62.2
229.9,0.265,62.94,230.0,0.271,62.6
229.9,0.265,62.94,230.0,0.272,62.1
229.9,0.264,63.04,230.0,0.271,62.3
229.9,0.265,63.14,230.0,0.272,62.4
