Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
227.32,3.604,819.261,227.5,3.624,826.5
227.32,3.635,826.308,227.5,3.628,826.5
227.21,3.635,825.908,227.5,3.629,826.5
227.26,3.639,826.999,227.5,3.634,827.5
227.43,3.639,827.618,227.5,3.631,826.5
226.94,3.639,825.835,227.1,3.622,824.9
226.94,3.633,824.473,226.7,3.618,820.7
226.79,3.626,822.341,226.7,3.617,819.1
226.77,3.626,822.268,225.9,3.609,817.1
225.84,3.616,816.637,225.9,3.607,816.5
225.84,3.615,816.412,226.3,3.604,818.6
225.88,3.62,817.686,226.3,3.611,817.6
226.08,3.62,818.41,226.3,3.605,817.6
225.92,3.618,817.379,225.9,3.611,816.5
225.92,3.615,816.701,225.9,3.602,815.5
225.92,3.615,816.701,225.9,3.611,818.1
225.97,3.615,816.882,225.9,3.609,819.1
226.2,3.615,817.713,226.3,3.611,817.6
226.2,3.619,818.618,226.3,3.614,818.6
226.32,3.62,819.278,225.9,3.604,818.1
225.99,3.62,818.084,226.7,3.61,823.8
226.79,3.623,821.66,226.7,3.62,820.7
226.79,3.629,823.021,226.7,3.614,820.2
226.52,3.622,820.455,226.7,3.616,821.2
226.33,3.622,819.767,226.7,3.616,821.2
226.56,3.624,821.053,226.3,3.621,820.7
226.53,3.626,821.398,226.3,3.617,821.7
226.53,3.625,821.171,226.3,3.614,820.7
226.44,3.622,820.166,226.3,3.616,819.7
226.38,3.622,819.948,226.7,3.622,822.3
226.78,3.626,822.304,226.7,3.623,822.8
226.78,3.628,822.758,227.1,3.622,825.4
