Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
225.26,5.723,1289.163,225.5,5.71,1292.3
225.26,5.707,1285.559,225.5,5.71,1291.0
225.26,5.707,1285.559,225.1,5.713,1292.3
225.43,5.707,1286.529,225.9,5.713,1291.0
225.43,5.7,1284.951,225.5,5.713,1291.0
225.25,5.7,1283.925,225.5,5.703,1289.7
225.25,5.7,1283.925,225.9,5.703,1291.0
225.25,5.702,1284.376,225.9,5.725,1297.6
226.1,5.702,1289.222,226.7,5.728,1300.2
226.1,5.702,1289.222,226.7,5.731,1300.2
226.1,5.721,1293.518,226.3,5.731,1298.9
226.19,5.721,1294.033,226.3,5.725,1298.9
