Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
224.68,9.036,2030.208,224.7,9.005,2026.1
224.68,8.995,2020.997,225.1,9.005,2022.9
224.47,8.995,2019.108,224.7,8.998,2019.7
224.47,8.979,2015.516,224.7,8.998,2022.9
224.47,8.979,2015.516,225.1,8.998,2022.9
224.54,8.979,2016.145,224.7,8.998,2026.1
224.54,8.985,2017.492,224.7,9.005,2022.9
224.61,8.985,2018.121,224.7,9.005,2026.1
224.61,8.985,2018.121,225.1,8.998,2022.9
224.61,8.976,2016.099,225.5,8.998,2022.9
224.59,8.976,2015.92,225.1,8.998,2026.1
224.59,8.977,2016.144,225.1,9.005,2022.9
