Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
228.97,0.905,207.218,228.7,0.894,209.0
229.08,0.905,207.317,228.7,0.893,209.2
229.08,0.905,207.317,229.2,0.896,209.3
229.08,0.911,208.692,229.2,0.895,209.0
228.97,0.911,208.592,228.7,0.895,208.8
228.97,0.912,208.821,228.7,0.894,209.1
228.97,0.912,208.821,229.2,0.896,209.2
229.2,0.912,209.03,229.2,0.895,208.9
229.2,0.912,209.03,229.2,0.894,209.3
229.2,0.912,209.03,229.2,0.896,209.1
229.13,0.912,208.967,229.2,0.895,209.3
229.13,0.912,208.967,229.2,0.895,209.0
