Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
223.83,8.989,2012.008,224.7,9.005,2014.1
223.83,8.966,2006.86,224.7,8.998,2007.8
223.8,8.966,2006.591,224.7,8.99,2010.9
223.8,8.947,2002.339,224.3,8.983,2010.9
223.8,8.947,2002.339,224.3,8.983,2007.8
223.72,8.947,2001.623,224.3,8.983,2010.9
223.72,8.954,2003.189,223.9,8.99,2010.9
223.6,8.954,2002.114,223.9,9.005,2004.6
223.6,8.954,2002.114,223.9,8.99,2010.9
223.6,8.954,2002.114,224.3,8.99,2001.5
223.59,8.954,2002.025,223.9,8.983,2007.8
223.59,8.954,2002.025,224.3,8.983,2007.8
