Ref_Volt,Ref_Amp,Ref_Watt,Target_Volt,Target_Amp,Target_Watt
228.21,4.261,972.403,228.3,4.249,970.7
228.27,4.261,972.658,228.3,4.254,971.5
228.27,4.264,973.343,228.3,4.254,970.0
228.27,4.264,973.343,227.9,4.258,971.5
228.16,4.264,972.874,228.3,4.258,972.2
228.16,4.269,974.015,228.3,4.258,970.7
227.01,4.269,969.106,227.5,4.258,962.7
227.01,4.269,969.106,227.5,4.239,963.4
227.01,4.251,965.02,227.5,4.238,963.4
227.12,4.251,965.487,227.1,4.243,963.4
227.12,4.251,965.487,227.1,4.241,962.7
227.12,4.251,965.487,227.1,4.241,963.4
